"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"16:45:03.873, 31.03.2016","1,1","0,0","400.556.032","205.496.376","122.331.136","113.327.696","20.172","0","166","25"
"16:45:04.888, 31.03.2016","3,3","0,0","400.556.032","214.757.512","122.331.136","113.327.696","20.172","0","166","25"
"16:45:05.904, 31.03.2016","1,5","0,0","400.556.032","221.225.776","122.331.136","113.327.696","20.172","0","166","25"
"16:45:06.920, 31.03.2016","1,1","0,0","400.556.032","227.706.752","122.331.136","113.327.696","20.172","0","166","25"
"16:45:07.935, 31.03.2016","5,0","0,0","400.556.032","234.674.056","122.331.136","113.327.696","20.172","0","166","25"
"16:45:08.951, 31.03.2016","4,0","0,0","400.556.032","240.924.176","122.331.136","113.327.696","20.172","0","166","25"
"16:45:09.967, 31.03.2016","5,4","0,0","400.556.032","248.680.888","122.331.136","113.327.696","20.172","0","166","25"
"16:45:10.982, 31.03.2016","8,2","1,1","400.556.032","134.933.024","122.331.136","113.339.280","20.172","0","166","25"
"16:45:11.998, 31.03.2016","3,9","0,0","400.556.032","141.933.496","122.331.136","113.339.280","20.172","0","166","25"
"16:45:13.014, 31.03.2016","1,4","0,0","400.556.032","148.079.632","122.331.136","113.339.280","20.172","0","166","25"
"16:45:14.029, 31.03.2016","1,9","0,0","400.556.032","153.476.960","122.331.136","113.339.280","20.172","0","166","25"
"16:45:15.045, 31.03.2016","2,3","0,0","400.556.032","161.626.768","122.331.136","113.339.280","20.172","0","166","25"
"16:45:16.060, 31.03.2016","2,7","0,0","400.556.032","166.885.792","122.331.136","113.339.280","20.172","0","166","25"
"16:45:17.076, 31.03.2016","4,7","0,0","400.556.032","172.097.672","122.331.136","113.339.280","20.172","0","166","25"
"16:45:18.076, 31.03.2016","1,5","0,0","400.556.032","177.270.912","122.331.136","113.339.280","20.172","0","166","25"
"16:45:19.092, 31.03.2016","0,0","0,0","400.556.032","179.594.872","122.331.136","113.339.280","20.172","0","166","25"
"16:45:20.107, 31.03.2016","2,3","0,0","400.556.032","183.494.288","122.331.136","113.339.280","20.172","0","166","25"
"16:45:21.123, 31.03.2016","1,1","0,0","400.556.032","185.808.256","122.331.136","113.339.280","20.172","0","166","25"
"16:45:22.139, 31.03.2016","0,3","0,0","400.556.032","187.623.504","122.331.136","113.339.280","20.172","0","166","25"
"16:45:23.154, 31.03.2016","0,3","0,0","400.556.032","189.469.576","122.331.136","113.339.280","20.172","0","166","25"
"16:45:24.170, 31.03.2016","0,7","0,0","400.556.032","191.336.488","122.331.136","113.339.280","20.172","0","166","25"
"16:45:25.186, 31.03.2016","0,0","0,0","400.556.032","194.554.552","122.331.136","113.339.280","20.172","0","166","25"
"16:45:26.201, 31.03.2016","1,4","0,0","400.556.032","196.129.704","122.331.136","113.339.280","20.172","0","166","25"
"16:45:27.217, 31.03.2016","0,0","0,0","400.556.032","197.741.832","122.331.136","113.339.280","20.172","0","166","25"
"16:45:28.233, 31.03.2016","0,0","0,0","400.556.032","199.256.576","122.331.136","113.339.280","20.172","0","166","25"
"16:45:29.248, 31.03.2016","0,7","0,0","400.556.032","200.770.584","122.331.136","113.339.280","20.172","0","166","25"
"16:45:30.264, 31.03.2016","0,7","0,0","400.556.032","203.884.280","122.331.136","113.339.280","20.172","0","166","25"
"16:45:31.279, 31.03.2016","0,3","0,0","400.556.032","205.009.032","122.331.136","113.339.280","20.172","0","166","25"
"16:45:32.295, 31.03.2016","0,3","0,0","400.556.032","205.976.784","122.331.136","113.339.280","20.172","0","166","25"
